k;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value
3;chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480; chr6:100912785..100912822,-, chr1:215157270..215157279,+, chr21:47405885..47405896,+; 63.64318150801671; chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480; chr6:100912785..100912822,-, chr1:215157270..215157279,+, chr2:216219566..216219577,-; 59.263186739879018; chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480; chr6:100912785..100912822,-, chr1:215157270..215157279,+, chr10:129796408..129796412,+; 57.432580444652444; chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480; chr6:100912785..100912822,-, chr1:215157270..215157279,+, chr1:115801241..115801245,+; 57.273748427860724; chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480; chr6:100912785..100912822,-, chr1:215157270..215157279,+, chr12:43496907..43496913,+; 56.826865126378955
4;chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480, chr11:87637570-87637859; chr1:215157270..215157279,+, chr10:129796408..129796412,+, chr21:47405885..47405896,+, chr10:101603427..101603446,+; 71.425012924606079; chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480, chr11:87637570-87637859; chr1:215157270..215157279,+, chr21:47405885..47405896,+, chr2:216219566..216219577,-, chr10:101603427..101603446,+; 70.809294096685221; chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480, chr11:87637570-87637859; chr1:215157270..215157279,+, chr21:47405885..47405896,+, chr2:216219566..216219577,-, chr1:115801241..115801245,+; 69.959015715270738; chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480, chr11:87637570-87637859; chr1:215157270..215157279,+, chr10:129796408..129796412,+, chr21:47405885..47405896,+, chr11:27278138..27278178,-; 69.83847816694761; chr11:119664135-119664331, chr2:183927847-183928122, chr17:9962311-9962480, chr11:87637570-87637859; chr1:215157270..215157279,+, chr10:129796408..129796412,+, chr21:47405885..47405896,+, chr12:43496907..43496913,+; 69.787982707514942
;mesenchymal precursor cell - bone marrow;;;;;;;;;;;;;;
1;chr12:27748114-27748496,; chr5:53776469..53776484,+,; 35.221313848550487;;;;;;;;;;;;
2;chr12:27748114-27748496, chr4:58015152-58015220; chr6:52001069..52001073,+, chr21:43477244..43477264,-; 70.031698443375689; chr12:27748114-27748496, chr4:58015152-58015220; chr6:52001069..52001073,+, chr6:143447300..143447316,+; 67.965555484073477; chr12:27748114-27748496, chr4:58015152-58015220; chr6:52001069..52001073,+, chr11:35385709..35385728,-; 65.601590116223178; chr12:27748114-27748496, chr4:58015152-58015220; chr6:52001069..52001073,+, chr5:53776469..53776484,+; 65.130037969355413; chr12:27748114-27748496, chr4:58015152-58015220; chr6:52001069..52001073,+, chr1:203151964..203151973,-; 63.473400821806791
3;chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898; chr6:52001069..52001073,+, chr21:39704505..39704513,-, chr21:43477244..43477264,-; 78.061898151007185; chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898; chr6:52001069..52001073,+, chr21:39652712..39652732,+, chr21:43477244..43477264,-; 76.400892144897185; chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898; chr6:52001069..52001073,+, chr21:39704505..39704513,-, chr21:39652712..39652732,+; 74.766806819599353; chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898; chr6:52001069..52001073,+, chr21:39652712..39652732,+, chr8:97934642..97934647,+; 74.756038547274485; chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898; chr6:52001069..52001073,+, chr21:39704505..39704513,-, chr11:35385709..35385728,-; 73.829967127336332
4;chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898, chr14:100233292-100233532; chr6:52001069..52001073,+, chr21:39704505..39704513,-, chr21:39652712..39652732,+, chr8:97934642..97934647,+; 80.484875678298494; chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898, chr14:100233292-100233532; chr6:52001069..52001073,+, chr21:39704505..39704513,-, chr21:39652712..39652732,+, chr21:43477244..43477264,-; 80.331760414212354; chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898, chr14:100233292-100233532; chr6:52001069..52001073,+, chr21:39704505..39704513,-, chr21:39652712..39652732,+, chr11:35385709..35385728,-; 80.18027403591438; chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898, chr14:100233292-100233532; chr6:52001069..52001073,+, chr21:39652712..39652732,+, chr11:35385709..35385728,-, chr21:43477244..43477264,-; 79.587359609027644; chr12:27748114-27748496, chr4:58015152-58015220, chr8:94947484-94947898, chr14:100233292-100233532; chr6:52001069..52001073,+, chr21:39704505..39704513,-, chr11:35385709..35385728,-, chr21:43477244..43477264,-; 79.364202256051044
;Mesenchymal stem cells - hepatic;;;;;;;;;;;;;;
1;chr1:236231203-236231484,; chr5:148586717..148586723,+,; 61.209418823759719; chr1:236231203-236231484,; chr5:148600871..148600881,-,; 52.426610383264403; chr1:236231203-236231484,; chr4:175135724..175135735,-,; 52.201410166841441; chr1:236231203-236231484,; chr16:86532148..86532166,-,; 30.807389606660525;;;
2;chr1:236231203-236231484, chr1:48224075-48224507; chr5:148586717..148586723,+, chr2:67442440..67442459,-; 78.488613919438492; chr1:236231203-236231484, chr1:48224075-48224507; chr5:148586717..148586723,+, chr4:175131785..175131801,+; 77.669602295931327; chr1:236231203-236231484, chr1:48224075-48224507; chr5:148586717..148586723,+, chr9:94955376..94955381,+; 77.34075671982616; chr1:236231203-236231484, chr1:48224075-48224507; chr5:148586717..148586723,+, chr14:52066714..52066739,-; 75.088474755181394; chr1:236231203-236231484, chr1:48224075-48224507; chr5:148586717..148586723,+, chr5:148600871..148600881,-; 74.145370461445864
3;chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722; chr5:148586717..148586723,+, chr9:94955376..94955381,+, chr4:174429255..174429289,+; 85.346634378776429; chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722; chr5:148586717..148586723,+, chr4:175131785..175131801,+, chr5:148600871..148600881,-; 85.158189613091352; chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722; chr5:148586717..148586723,+, chr9:94955376..94955381,+, chr4:175135724..175135735,-; 83.370656407164233; chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722; chr5:148586717..148586723,+, chr9:94955376..94955381,+, chr9:12701369..12701379,+; 83.128370279854835; chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722; chr5:148586717..148586723,+, chr4:175131785..175131801,+, chr4:175135724..175135735,-; 83.093373394799031
4;chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722, chr11:63319099-63319170; chr5:148586717..148586723,+, chr9:94955376..94955381,+, chr4:175131785..175131801,+, chr4:175135724..175135735,-; 87.689437519287637; chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722, chr11:63319099-63319170; chr5:148586717..148586723,+, chr4:175131785..175131801,+, chr5:148600871..148600881,-, chr2:67442440..67442459,-; 87.044398747180082; chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722, chr11:63319099-63319170; chr5:148586717..148586723,+, chr9:94955376..94955381,+, chr5:148600871..148600881,-, chr4:175131715..175131722,+; 86.829385823144221; chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722, chr11:63319099-63319170; chr5:148586717..148586723,+, chr9:94955376..94955381,+, chr4:175131785..175131801,+, chr5:148600871..148600881,-; 86.659981701176591; chr1:236231203-236231484, chr1:48224075-48224507, chr22:47045339-47045722, chr11:63319099-63319170; chr5:148586717..148586723,+, chr4:175131785..175131801,+, chr5:148600871..148600881,-, chr10:91939935..91939941,+; 86.029602901162392
;Mesothelial Cells;;;;;;;;;;;;;;
1;chr16:1222174-1222309,; chr11:111724532..111724542,-,; 72.964870121038089; chr16:1222174-1222309,; chr12:120502465..120502470,+,; 72.244229428484616; chr16:1222174-1222309,; chr1:107067629..107067653,+,; 71.838869038923292; chr16:1222174-1222309,; chr10:29248821..29248844,-,; 70.802948043377697; chr16:1222174-1222309,; chrX:140048723..140048740,+,; 69.496786788124538
2;chr16:1222174-1222309, chr20:48944904-48945093; chr6:30449373..30449383,-, chr8:143591513..143591534,+; 87.001371097104084; chr16:1222174-1222309, chr20:48944904-48945093; chr6:30449373..30449383,-, chr1:107067629..107067653,+; 86.951734029012727; chr16:1222174-1222309, chr20:48944904-48945093; chr6:30449373..30449383,-, chr13:38083829..38083838,+; 86.877278426875733; chr16:1222174-1222309, chr20:48944904-48945093; chr6:30449373..30449383,-, chr9:35027511..35027519,-; 86.852459892830041; chr16:1222174-1222309, chr20:48944904-48945093; chr6:30449373..30449383,-, chr10:29248821..29248844,-; 85.648760991614949
3;chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526; chr6:30449373..30449383,-, chrX:140048723..140048740,+, chrX:100129320..100129329,-; 92.340627253774414; chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526; chr6:30449373..30449383,-, chrX:140048723..140048740,+, chr12:120502465..120502470,+; 91.393019289186554; chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526; chr6:30449373..30449383,-, chr10:29248821..29248844,-, chr8:143591513..143591534,+; 91.390327221105352; chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526; chr6:30449373..30449383,-, chrX:140048723..140048740,+, chr2:170115546..170115580,-; 91.347254131805883; chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526; chr6:30449373..30449383,-, chrX:140048723..140048740,+, chr10:29248821..29248844,-; 90.571938524415813
4;chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526, chr1:234709673-234709936; chr6:30449373..30449383,-, chrX:140048723..140048740,+, chr10:29248821..29248844,-, chr1:107067629..107067653,+; 93.822192511673819; chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526, chr1:234709673-234709936; chr6:30449373..30449383,-, chrX:140048723..140048740,+, chr11:111724532..111724542,-, chr8:143591513..143591534,+; 93.471982067221489; chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526, chr1:234709673-234709936; chr6:30449373..30449383,-, chr10:29248821..29248844,-, chr11:111724532..111724542,-, chr9:35027511..35027519,-; 93.297691287889393; chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526, chr1:234709673-234709936; chr6:30449373..30449383,-, chrX:140048723..140048740,+, chr11:111724532..111724542,-, chr10:14372855..14372869,-; 93.227649198998947; chr16:1222174-1222309, chr20:48944904-48945093, chr5:121523144-121523526, chr1:234709673-234709936; chr6:30449373..30449383,-, chrX:140048723..140048740,+, chr11:111724532..111724542,-, chr1:107067629..107067653,+; 93.131544937498063
;migratory langerhans cells;;;;;;;;;;;;;;
1;chr4:14809578-14809765,; chr6:6862008..6862024,-,; 89.764806266190675; chr4:14809578-14809765,; chr16:10959868..10959879,+,; 88.278484837799169; chr4:14809578-14809765,; chr7:106889102..106889113,-,; 87.918164491522433; chr4:14809578-14809765,; chr6:169770365..169770377,-,; 87.873124448237846; chr4:14809578-14809765,; chr13:51381989..51382005,+,; 87.783044361668644
2;chr4:14809578-14809765, chr16:10885820-10885991; chr1:245809322..245809343,+, chr3:190008121..190008130,+; 98.020800213382557; chr4:14809578-14809765, chr16:10885820-10885991; chr1:245809322..245809343,+, chr13:51381967..51381988,+; 96.122182358888637; chr4:14809578-14809765, chr16:10885820-10885991; chr1:245809322..245809343,+, chr7:106889102..106889113,-; 96.066340657285892; chr4:14809578-14809765, chr16:10885820-10885991; chr1:245809322..245809343,+, chr6:6862008..6862024,-; 96.004294322171688; chr4:14809578-14809765, chr16:10885820-10885991; chr1:245809322..245809343,+, chr6:106340773..106340776,-; 95.067394661947574
3;chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782; chr1:245809322..245809343,+, chr13:51381967..51381988,+, chr18:22537624..22537627,-; 98.81235892101661; chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782; chr1:245809322..245809343,+, chr13:51381967..51381988,+, chr13:51382017..51382022,+; 98.330478734479016; chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782; chr1:245809322..245809343,+, chr6:106340773..106340776,-, chr6:20723063..20723072,+; 96.962908149221519; chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782; chr1:245809322..245809343,+, chr6:106340773..106340776,-, chr13:51381989..51382005,+; 96.499872439252442; chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782; chr1:245809322..245809343,+, chr13:51381967..51381988,+, chr6:106340773..106340776,-; 96.408342124491114
4;chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782, chr9:113044793-113045024; chr1:245809322..245809343,+, chr13:51381967..51381988,+, chr6:106340773..106340776,-, chr6:20723063..20723072,+;100; chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782, chr9:113044793-113045024; chr1:245809322..245809343,+, chr6:106340773..106340776,-, chr13:51382017..51382022,+, chr13:51381989..51382005,+; 99.363661962961416; chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782, chr9:113044793-113045024; chr1:245809322..245809343,+, chr13:51381967..51381988,+, chr6:106340773..106340776,-, chrX:66877253..66877260,-; 99.208917813087126; chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782, chr9:113044793-113045024; chr1:245809322..245809343,+, chr6:106340773..106340776,-, chr13:51382017..51382022,+, chr9:35227753..35227762,+; 99.101411351069203; chr4:14809578-14809765, chr16:10885820-10885991, chr6:33018722-33018782, chr9:113044793-113045024; chr1:245809322..245809343,+, chr6:106340773..106340776,-, chr13:51382017..51382022,+, chr6:20723063..20723072,+; 97.993769015126958
;Myoblast;;;;;;;;;;;;;;
1;chr12:90371593-90371911,; chr12:81112863..81112872,+,; 62.155259732736148; chr12:90371593-90371911,; chr9:113430935..113430942,+,; 55.489333326616617; chr12:90371593-90371911,; chr11:47470490..47470498,-,; 51.030369041442071; chr12:90371593-90371911,; chr11:47470650..47470653,-,; 46.030924236852421; chr12:90371593-90371911,; chr4:177190269..177190282,-,; 41.797160168100831
2;chr12:90371593-90371911, chr21:39135127-39135274; chr12:81112863..81112872,+, chr11:47470650..47470653,-; 79.065644836000388; chr12:90371593-90371911, chr21:39135127-39135274; chr12:81112863..81112872,+, chr6:117747067..117747096,-; 78.06669884066207; chr12:90371593-90371911, chr21:39135127-39135274; chr12:81112863..81112872,+, chr11:47470490..47470498,-; 77.71923936402267; chr12:90371593-90371911, chr21:39135127-39135274; chr12:81112863..81112872,+, chr7:7595050..7595057,-; 77.626169861351386; chr12:90371593-90371911, chr21:39135127-39135274; chr12:81112863..81112872,+, chr4:177190269..177190282,-; 77.148413080972205
3;chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979; chr12:81112863..81112872,+, chr7:7594984..7594990,-, chr11:47470490..47470498,-; 88.760176705757743; chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979; chr12:81112863..81112872,+, chr7:7594984..7594990,-, chr6:117747067..117747096,-; 87.128783448541128; chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979; chr12:81112863..81112872,+, chr9:113430935..113430942,+, chr12:81101404..81101421,+; 86.948414887099688; chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979; chr12:81112863..81112872,+, chr9:113430935..113430942,+, chr11:47470650..47470653,-; 84.237502329315646; chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979; chr12:81112863..81112872,+, chr9:113430935..113430942,+, chr18:41106373..41106378,-; 84.170200627285254
4;chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979, chr12:47787551-47787794; chr12:81112863..81112872,+, chr9:113430935..113430942,+, chr6:117747067..117747096,-, chr11:47470490..47470498,-; 90.422707871803979; chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979, chr12:47787551-47787794; chr12:81112863..81112872,+, chr7:7594984..7594990,-, chr9:113430935..113430942,+, chr18:41106373..41106378,-; 89.689709267136308; chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979, chr12:47787551-47787794; chr12:81112863..81112872,+, chr7:7594984..7594990,-, chr9:113430935..113430942,+, chr11:47470650..47470653,-; 89.085392639732504; chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979, chr12:47787551-47787794; chr12:81112863..81112872,+, chr7:7594984..7594990,-, chr6:117747067..117747096,-, chr18:41106373..41106378,-; 88.204165428343146; chr12:90371593-90371911, chr21:39135127-39135274, chr21:46740711-46740979, chr12:47787551-47787794; chr12:81112863..81112872,+, chr7:7594984..7594990,-, chr6:117747067..117747096,-, chr11:47470650..47470653,-; 88.168329941003847
;Natural Killer Cells;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr5:1152155-1152545, chr19:14719213-14719509; chr9:37503887..37503888,-, chr19:55417072..55417092,-; 77.365575253871839; chr5:1152155-1152545, chr19:14719213-14719509; chr9:37503887..37503888,-, chr2:111563780..111563786,-; 70.856914700394285; chr5:1152155-1152545, chr19:14719213-14719509; chr9:37503887..37503888,-, chr6:161663432..161663478,+; 69.91381040665874; chr5:1152155-1152545, chr19:14719213-14719509; chr9:37503887..37503888,-, chr10:98431336..98431339,-; 69.262323887959838; chr5:1152155-1152545, chr19:14719213-14719509; chr9:37503887..37503888,-, chr7:38320712..38320736,+; 68.958296845900364
3;chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054; chr9:37503887..37503888,-, chr7:38320712..38320736,+, chr18:19973249..19973280,-; 73.25386455795622; chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054; chr9:37503887..37503888,-, chr7:38320712..38320736,+, chr19:55417072..55417092,-; 72.812365392636863; chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054; chr9:37503887..37503888,-, chr6:161663432..161663478,+, chr19:55417072..55417092,-; 70.906381191136248; chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054; chr9:37503887..37503888,-, chr6:161663432..161663478,+, chr9:116282632..116282641,-; 68.122782795159381; chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054; chr9:37503887..37503888,-, chr6:161663432..161663478,+, chr2:145267967..145267972,-; 64.814231123345465
4;chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054, chr11:364521-364678; chr9:37503887..37503888,-, chr7:38320712..38320736,+, chr6:161663432..161663478,+, chr19:55417072..55417092,-; 62.886393623121769; chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054, chr11:364521-364678; chr9:37503887..37503888,-, chr7:38320712..38320736,+, chr6:161663432..161663478,+, chr15:78342745..78342750,-; 60.609211291287536; chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054, chr11:364521-364678; chr9:37503887..37503888,-, chr7:38320712..38320736,+, chr2:145267967..145267972,-, chr2:240467130..240467134,+; 59.382660292810307; chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054, chr11:364521-364678; chr9:37503887..37503888,-, chr7:38320712..38320736,+, chr2:145267967..145267972,-, chr18:46341777..46341782,+; 58.086067205442603; chr5:1152155-1152545, chr19:14719213-14719509, chr2:235180901-235181054, chr11:364521-364678; chr9:37503887..37503888,-, chr7:38320712..38320736,+, chr2:145267967..145267972,-, chr15:78342745..78342750,-; 57.656041357370903
;Neurons;;;;;;;;;;;;;;
1;chrX:47175541-47175936,; chr20:61992711..61992734,-,; 93.728330075234723; chrX:47175541-47175936,; chr12:109458820..109458844,-,; 92.242008646843203; chrX:47175541-47175936,; chr2:182545330..182545341,-,; 90.66560713188251; chrX:47175541-47175936,; chr1:208443962..208443970,-,; 90.530487002028735; chrX:47175541-47175936,; chr12:1929783..1929798,+,; 90.440406915459548
2;chrX:47175541-47175936, chr9:126760925-126761520; chr12:1929783..1929798,+, chr2:2335151..2335158,-; 99.894599533830814; chrX:47175541-47175936, chr9:126760925-126761520; chr12:1929783..1929798,+, chr1:156119836..156119854,+; 98.250371653305038; chrX:47175541-47175936, chr9:126760925-126761520; chr12:1929783..1929798,+, chr1:50666757..50666774,+; 96.916375448350152; chrX:47175541-47175936, chr9:126760925-126761520; chr12:1929783..1929798,+, chr8:145555308..145555319,-; 96.637166940336343; chrX:47175541-47175936, chr9:126760925-126761520; chr12:1929783..1929798,+, chr2:209054717..209054723,-; 95.675448746066522
3;chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673; chr12:1929783..1929798,+, chr12:109458820..109458844,-, chr2:209054717..209054723,-; 99.01964816327019; chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673; chr12:1929783..1929798,+, chr12:109458820..109458844,-, chr2:182545330..182545341,-; 98.677755516955827; chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673; chr12:1929783..1929798,+, chr12:109458820..109458844,-, chr1:50666757..50666774,+; 98.252408760123771; chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673; chr12:1929783..1929798,+, chr1:208443962..208443970,-, chr20:656893..656902,-; 97.512090037789505; chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673; chr12:1929783..1929798,+, chr12:109458820..109458844,-, chr2:2335151..2335158,-; 97.084051212876219
4;chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673, chr10:26503082-26503465; chr12:1929783..1929798,+, chr1:208443962..208443970,-, chr2:209054717..209054723,-, chr1:50666757..50666774,+;100; chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673, chr10:26503082-26503465; chr12:1929783..1929798,+, chr1:208443962..208443970,-, chr2:209054717..209054723,-, chr8:145555308..145555319,-;100; chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673, chr10:26503082-26503465; chr12:1929783..1929798,+, chr12:109458820..109458844,-, chr2:209054717..209054723,-, chr4:176555299..176555310,-;100; chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673, chr10:26503082-26503465; chr12:1929783..1929798,+, chr1:208443962..208443970,-, chr2:209054717..209054723,-, chr4:176555299..176555310,-;100; chrX:47175541-47175936, chr9:126760925-126761520, chr22:38848472-38848673, chr10:26503082-26503465; chr12:1929783..1929798,+, chr12:109458820..109458844,-, chr1:208443962..208443970,-, chr8:145555308..145555319,-; 99.888163186745842
;Nucleus Pulposus Cell;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr8:33579772-33580017, chr13:20711185-20711522; chr20:21687260..21687270,+, chr4:156129991..156130013,+; 57.343222912525746; chr8:33579772-33580017, chr13:20711185-20711522; chr20:21687260..21687270,+, chr6:112375516..112375536,+; 53.899651313688722; chr8:33579772-33580017, chr13:20711185-20711522; chr20:21687260..21687270,+, chr20:21695435..21695452,+; 53.701103041323336; chr8:33579772-33580017, chr13:20711185-20711522; chr20:21687260..21687270,+, chr7:158226043..158226065,+; 52.162353930491655; chr8:33579772-33580017, chr13:20711185-20711522; chr20:21687260..21687270,+, chr20:43343646..43343655,+; 51.591527647441204
3;chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506; chr20:21687260..21687270,+, chr4:156129991..156130013,+, chr20:43343646..43343655,+; 65.917979036643843; chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506; chr20:21687260..21687270,+, chr20:21687193..21687206,+, chr20:43343646..43343655,+; 63.589340146392402; chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506; chr20:21687260..21687270,+, chr4:156129991..156130013,+, chr14:37126814..37126834,+; 58.872836868102766; chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506; chr20:21687260..21687270,+, chr20:21687193..21687206,+, chr6:112375516..112375536,+; 57.682942776205493; chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506; chr20:21687260..21687270,+, chr20:21687193..21687206,+, chr7:18832834..18832859,+; 56.44189939076513
4;chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506, chr5:33371815-33372155; chr20:21687260..21687270,+, chr20:21687193..21687206,+, chr4:156129991..156130013,+, chr20:43343646..43343655,+; 68.29103666820474; chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506, chr5:33371815-33372155; chr20:21687260..21687270,+, chr4:156129991..156130013,+, chr3:174737010..174737023,+, chr20:43343646..43343655,+; 66.655635336901753; chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506, chr5:33371815-33372155; chr20:21687260..21687270,+, chr20:21687193..21687206,+, chr3:174737010..174737023,+, chr20:43343646..43343655,+; 65.779294782876846; chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506, chr5:33371815-33372155; chr20:21687260..21687270,+, chr20:21687193..21687206,+, chr4:156129991..156130013,+, chr14:37126814..37126834,+; 62.216921564191964; chr8:33579772-33580017, chr13:20711185-20711522, chr3:80239226-80239506, chr5:33371815-33372155; chr20:21687260..21687270,+, chr20:21687193..21687206,+, chr3:174737010..174737023,+, chr20:21695435..21695452,+; 59.503197841133435
;Osteoblast;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr9:105248809-105248820, chr10:80685644-80685960; chr9:105248810..105248816,-, chr6:143447322..143447336,+; 59.707188280376023; chr9:105248809-105248820, chr10:80685644-80685960; chr9:105248810..105248816,-, chr4:26492048..26492059,-; 59.514844641522068; chr9:105248809-105248820, chr10:80685644-80685960; chr9:105248810..105248816,-, chr7:96651945..96651968,-; 59.403161238316535; chr9:105248809-105248820, chr10:80685644-80685960; chr9:105248810..105248816,-, chr7:96635277..96635301,+; 57.274971943900141; chr9:105248809-105248820, chr10:80685644-80685960; chr9:105248810..105248816,-, chr8:57359452..57359471,-; 55.723813566045635
3;chr9:105248809-105248820, chr10:80685644-80685960, chr7:1883097-1883273; chr9:105248810..105248816,-, chr4:26492048..26492059,-, chr6:143447322..143447336,+; 72.222802482850639; chr9:105248809-105248820, chr10:80685644-80685960, chr7:1883097-1883273; chr9:105248810..105248816,-, chr4:26492048..26492059,-, chr7:96634850..96634874,+; 71.135206978039577; chr9:105248809-105248820, chr10:80685644-80685960, chr7:1883097-1883273; chr9:105248810..105248816,-, chr4:26492048..26492059,-, chr7:96635740..96635773,-; 68.190084497189773; chr9:105248809-105248820, chr10:80685644-80685960, chr7:1883097-1883273; chr9:105248810..105248816,-, chr7:96651945..96651968,-, chr4:26492048..26492059,-; 68.06355729737264; chr9:105248809-105248820, chr10:80685644-80685960, chr7:1883097-1883273; chr9:105248810..105248816,-, chr4:26492048..26492059,-, chr7:96634908..96634923,+; 68.042020752722905
